id,user,uid,version,changeset,timestamp
10127032,swarood,8508451,9,64036290,2018-10-31T07:33:51Z
10127035,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:23Z
10127047,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:24Z
10127055,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:25Z
10127056,JonathanTransit,9342683,13,68180653,2019-03-15T16:06:19Z
10127058,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:25Z
10127060,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:25Z
10127067,paulmach,91499,7,50142766,2017-07-09T01:47:40Z
10127068,userd433fc,9023098,7,68294603,2019-03-19T13:16:44Z
10127069,Kevin Atkinson,321736,5,5405091,2010-08-05T07:11:17Z
10127070,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:26Z
10127073,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:26Z
10127076,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:27Z
10127095,mvexel,8909,5,50329611,2017-07-16T16:16:18Z
10127097,mvexel,8909,6,50329611,2017-07-16T16:16:18Z
10127137,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:29Z
10127139,mvexel,8909,5,25708147,2014-09-27T15:35:49Z
10127157,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:30Z
10127163,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:30Z
10127169,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:31Z
10127173,alice-hawthorne,9023103,25,67468774,2019-02-22T14:51:16Z
10127175,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:31Z
10127176,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:31Z
10127186,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:31Z
10127189,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:32Z
10127194,OSMF Redaction Account,722137,6,12294723,2012-07-18T19:25:47Z
10127196,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:32Z
10127197,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:32Z
10127198,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:32Z
10127200,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:32Z
10127208,rittoch,8884283,15,67875988,2019-03-07T09:53:15Z
10127209,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:33Z
10127213,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:34Z
10127216,mvexel,8909,4,32080428,2015-06-19T17:31:20Z
10127220,TheDutchMan13,1330847,3,49209938,2017-06-02T23:30:34Z
10127229,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:34Z
10127230,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:34Z
10127235,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:35Z
10127237,mvexel,8909,3,25757821,2014-09-29T23:09:04Z
10127239,mvexel,8909,4,10947382,2012-03-11T19:31:36Z
10127245,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:35Z
10127249,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:35Z
10127252,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:36Z
10127253,maxerickson,360392,4,44453723,2016-12-16T18:18:46Z
10127254,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:36Z
10127255,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:36Z
10127267,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:37Z
10127272,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:37Z
10127276,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:37Z
10127279,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:38Z
10127296,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:38Z
10127302,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:38Z
10127305,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:39Z
10127313,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:39Z
10127314,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:39Z
10127316,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:40Z
10127318,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:40Z
10127321,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:40Z
10127336,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:41Z
10127340,butlerm,104930,4,923140,2009-04-24T06:44:43Z
10127342,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:41Z
10127364,assalea,6964776,5,67455056,2019-02-22T07:15:20Z
10127365,userd433fc,9023098,7,68294603,2019-03-19T13:16:47Z
10127366,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:42Z
10127367,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:42Z
10127369,userd433fc,9023098,7,68294603,2019-03-19T13:16:47Z
10127375,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:43Z
10127379,paulmach,91499,5,50142285,2017-07-09T00:37:33Z
10127383,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:43Z
10127391,shaspand,8683375,12,64019305,2018-10-30T17:38:36Z
10127395,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:43Z
10127397,William Wait,8289562,9,63108509,2018-10-01T22:20:54Z
10127398,TheDutchMan13,1330847,9,49209938,2017-06-02T23:30:44Z
10127402,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:44Z
10127408,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:45Z
10127409,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:45Z
10127412,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:45Z
10127424,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:45Z
10127431,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:46Z
